1210.TW,2010/09/08
1234.TW,2010/09/23
1304.TW,2010/09/03
1409.TW,2010/09/07
1455.TW,2010/09/24
1457.TW,2010/09/14
1457.TW,2010/09/24
1473.TW,2010/10/12
1475.TW,2010/09/03
1504.TW,2010/09/15
1537.TW,2010/09/24
1560.TW,2010/10/01
1710.TW,2010/09/03
1710.TW,2010/09/21
1711.TW,2010/09/03
1711.TW,2010/09/23
1722.TW,2010/09/03
1905.TW,2010/10/06
2311.TW,2010/09/10
2325.TW,2010/09/09
2332.TW,2010/09/03
2332.TW,2010/09/29
2354.TW,2010/09/13
2371.TW,2010/09/15
2371.TW,2010/09/28
2371.TW,2010/10/05
2371.TW,2010/10/07
2409.TW,2010/09/09
2448.TW,2010/09/16
2448.TW,2010/09/23
2454.TW,2010/09/08
2454.TW,2010/10/04
2454.TW,2010/10/06
2475.TW,2010/09/24
2478.TW,2010/09/17
2499.TW,2010/09/14
2501.TW,2010/09/03
2504.TW,2010/10/01
2547.TW,2010/09/16
2610.TW,2010/09/08
2610.TW,2010/09/27
2610.TW,2010/10/07
2823.TW,2010/09/08
2847.TW,2010/10/01
3010.TW,2010/09/03
3019.TW,2010/09/15
3380.TW,2010/09/16
8046.TW,2010/10/04
